Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit_Risk,Total_Credit_Score,reject
40,male,Unskilled-Resident,own,little,little,701,12,radio/TV,Good,819.3457988337442,Accepted
30,male,Skilled,own,little,moderate,639,12,repairs,Good,822.7353458084773,Accepted
34,male,Highly Skilled,own,little,moderate,1860,12,car,Good,770.1960688028485,Accepted
29,female,Skilled,own,little,little,3499,12,car,Good,546.2921002865436,Accepted
27,male,Unskilled-Resident,own,little,little,2708,15,furniture/equipment,Good,568.0075011002522,Accepted
47,male,Skilled,free,little,little,1984,18,furniture/equipment,Good,795.4951910995744,Accepted
38,female,Skilled,own,little,little,1240,12,radio/TV,Good,825.5831066859374,Accepted
66,male,Unskilled-Resident,own,quite rich,moderate,766,12,radio/TV,Good,837.4129110548107,Accepted
35,male,Skilled,own,little,moderate,2728,15,radio/TV,Good,560.602913736157,Accepted
44,female,Unskilled-Resident,rent,little,rich,1881,12,radio/TV,Good,857.3662621363584,Accepted
27,male,Unskilled-Non Resident,own,rich,rich,709,6,car,Good,884.7729381132307,Accepted
27,male,Highly Skilled,own,little,little,3416,27,radio/TV,Good,480.94309798054667,Accepted
22,male,Skilled,own,little,little,2462,18,furniture/equipment,Good,548.9959375294786,Accepted
23,female,Skilled,own,little,little,2288,21,furniture/equipment,Good,811.4323288677165,Accepted
39,female,Skilled,own,little,little,860,6,car,Good,814.6276180468532,Accepted
51,female,Skilled,own,moderate,little,682,12,car,Good,802.4911837725883,Accepted
46,male,Skilled,own,rich,little,1582,18,radio/TV,Good,815.8575458724948,Accepted
42,male,Skilled,free,moderate,little,1346,6,radio/TV,Good,831.482233108009,Accepted
38,male,Skilled,own,little,little,1924,10,radio/TV,Good,822.7353458084773,Accepted
20,female,Skilled,rent,little,little,1282,12,furniture/equipment,Good,826.3238046430974,Accepted
48,male,Skilled,own,moderate,little,1288,9,repairs,Good,831.482233108009,Accepted
45,male,Unskilled-Resident,own,little,little,339,12,education,Good,817.0505562818903,Accepted
38,male,Skilled,own,moderate,moderate,3512,24,car,Good,513.5455001754409,Accepted
34,male,Unskilled-Resident,own,little,little,1898,6,radio/TV,Good,834.8717800827421,Accepted
36,male,Skilled,own,moderate,little,2872,24,radio/TV,Good,533.2478761140569,Accepted
30,female,Skilled,own,little,little,1055,18,car,Good,784.3253655650055,Accepted
36,male,Skilled,own,quite rich,little,1262,15,domestic appliances,Good,835.9634138661476,Accepted
36,male,Skilled,own,quite rich,little,909,36,car,Good,762.0335358748388,Accepted
32,male,Skilled,own,quite rich,little,2978,6,furniture/equipment,Good,591.055019291177,Accepted
33,female,Skilled,own,little,little,1131,18,furniture/equipment,Good,801.7324989517676,Accepted
20,female,Skilled,own,rich,moderate,1577,11,furniture/equipment,Good,851.0548062710989,Accepted
25,female,Skilled,rent,little,little,3972,24,furniture/equipment,Good,536.8363349486773,Accepted
31,male,Skilled,own,little,moderate,1935,24,business,Good,773.1341306362189,Accepted
33,male,Skilled,rent,little,little,950,15,car,Good,793.825278851384,Accepted
26,female,Skilled,own,little,little,763,12,furniture/equipment,Good,832.9876940500324,Accepted
34,female,Highly Skilled,own,little,moderate,2064,24,furniture/equipment,Good,760.5521238334283,Accepted
33,male,Skilled,own,little,moderate,1414,8,radio/TV,Good,834.8717800827421,Accepted
26,male,Skilled,own,little,little,3414,21,education,Good,548.9959375294786,Accepted
42,male,Skilled,own,little,little,2577,12,furniture/equipment,Good,557.4619258211125,Accepted
52,male,Skilled,own,quite rich,little,338,6,radio/TV,Good,849.5493453290755,Accepted
31,male,Highly Skilled,rent,little,little,1963,12,radio/TV,Good,783.2345553345295,Accepted
65,male,Skilled,own,little,little,571,21,car,Good,778.0880577128123,Accepted
40,male,Unskilled-Resident,own,little,little,1647,21,car,Good,778.0880577128123,Accepted
50,male,Skilled,own,rich,little,3777,24,furniture/equipment,Good,545.6301988085365,Accepted
36,male,Skilled,own,little,moderate,884,18,car,Good,781.4776046875454,Accepted
31,male,Skilled,own,little,little,1360,15,radio/TV,Good,820.191544196935,Accepted
74,female,Highly Skilled,free,little,moderate,5129,9,car,Good,522.2020865190625,Accepted
68,male,Unskilled-Non Resident,free,little,moderate,1175,16,car,Good,778.0880577128123,Accepted
20,male,Skilled,own,moderate,little,674,12,radio/TV,Good,832.4351757244261,Accepted
33,female,Skilled,own,little,moderate,3244,18,furniture/equipment,Good,542.1438684909898,Accepted
54,male,Highly Skilled,own,rich,little,4591,24,business,Good,495.3861643547615,Accepted
34,male,Unskilled-Resident,free,moderate,moderate,3844,48,business,Good,458.15029781127305,Accepted
36,male,Skilled,own,little,moderate,3915,27,business,Good,484.3777931929944,Accepted
29,male,Skilled,rent,little,little,2108,6,radio/TV,Good,828.2078906758072,Accepted
34,female,Highly Skilled,own,little,moderate,1501,9,education,Good,802.5873973413355,Accepted
28,female,Skilled,own,little,little,1382,6,radio/TV,Good,847.4193708761511,Accepted
27,female,Skilled,rent,moderate,moderate,951,12,furniture/equipment,Good,826.3238046430974,Accepted
36,male,Skilled,free,little,moderate,2760,24,car,Good,513.5455001754409,Accepted
40,male,Highly Skilled,own,little,moderate,4297,18,furniture/equipment,Good,503.06965957178375,Accepted
52,male,Skilled,own,quite rich,little,936,9,education,Good,847.2541027772216,Accepted
27,male,Unskilled-Resident,own,little,little,1168,12,car,Good,812.7327997858101,Accepted
26,male,Skilled,own,little,little,5117,27,business,Good,494.0776231089433,Accepted
21,male,Skilled,rent,little,little,902,12,education,Good,823.4760437656373,Accepted
38,male,Unskilled-Resident,own,little,little,1495,12,car,Good,803.0329698698613,Accepted
43,male,Skilled,own,little,little,1935,12,furniture/equipment,Good,817.0505562818903,Accepted
26,male,Skilled,own,little,moderate,1424,12,domestic appliances,Good,830.1399331725722,Accepted
55,male,Skilled,own,rich,little,1413,12,car,Good,817.7105351161947,Accepted
33,male,Skilled,own,little,little,3074,9,radio/TV,Good,575.2831496219644,Accepted
45,female,Unskilled-Resident,own,little,little,3835,36,radio/TV,Good,503.53838303433747,Accepted
50,male,Skilled,own,little,little,5293,27,business,Good,480.9882462182613,Accepted
66,male,Highly Skilled,own,little,rich,1908,30,business,Good,749.5765674441153,Accepted
51,male,Skilled,own,little,little,3342,36,radio/TV,Good,500.69062215687734,Accepted
39,female,Unskilled-Resident,own,little,moderate,932,6,education,Good,832.0347514336153,Accepted
31,male,Skilled,own,little,little,3104,18,business,Good,521.8889742267676,Accepted
23,male,Skilled,own,little,rich,3913,36,radio/TV,Good,555.6165908796484,Accepted
24,male,Unskilled-Resident,rent,little,little,3021,24,furniture/equipment,Good,533.9885740712172,Accepted
64,female,Skilled,own,little,little,1364,10,car,Good,802.4911837725883,Accepted
26,male,Unskilled-Resident,own,little,moderate,625,12,radio/TV,Good,832.4351757244261,Accepted
23,female,Skilled,rent,little,little,1200,12,education,Good,826.3238046430974,Accepted
30,male,Skilled,own,little,little,707,12,radio/TV,Good,822.7353458084773,Accepted
32,male,Skilled,own,little,little,2978,24,business,Good,513.5455001754409,Accepted
30,male,Skilled,own,little,little,4657,15,car,Good,540.900537797541,Accepted
27,male,Skilled,own,little,little,2613,36,repairs,Good,513.7799990475594,Accepted
22,male,Skilled,own,little,little,1478,9,radio/TV,Good,844.571609998691,Accepted
22,male,Skilled,free,little,little,3149,24,furniture/equipment,Good,540.6524634781521,Accepted
26,male,Skilled,own,little,rich,4210,36,radio/TV,Good,555.6165908796484,Accepted
51,male,Unskilled-Resident,free,quite rich,little,2507,9,car,Good,570.2583389296817,Accepted
35,male,Skilled,own,moderate,little,2141,12,radio/TV,Good,822.7353458084773,Accepted
25,male,Unskilled-Resident,own,little,moderate,866,18,radio/TV,Good,810.8798105421102,Accepted
42,male,Unskilled-Resident,own,little,little,1544,4,radio/TV,Good,831.482233108009,Accepted
30,male,Highly Skilled,own,little,little,1823,24,radio/TV,Good,759.999605507822,Accepted
61,male,Unskilled-Resident,rent,moderate,moderate,2767,21,business,Good,511.8355378450995,Accepted
35,female,Skilled,own,little,little,1291,12,radio/TV,Good,825.5831066859374,Accepted
39,male,Skilled,own,little,little,2522,30,radio/TV,Good,500.69062215687734,Accepted
29,female,Skilled,own,little,little,915,24,car,Good,775.981891513679,Accepted
51,male,Skilled,own,little,little,1595,6,radio/TV,Good,831.482233108009,Accepted
24,male,Skilled,free,little,little,4605,48,car,Good,467.850127727222,Accepted
27,female,Skilled,own,little,little,1185,12,business,Good,815.5805606632703,Accepted
35,female,Unskilled-Resident,own,quite rich,little,3447,12,education,Good,581.7663458943722,Accepted
25,male,Skilled,own,little,little,1258,24,business,Good,782.8339605521677,Accepted
52,male,Skilled,own,little,little,717,12,radio/TV,Good,819.3457988337442,Accepted
35,male,Skilled,rent,moderate,little,1204,6,car,Good,808.5055147371912,Accepted
26,male,Skilled,own,little,rich,1925,24,furniture/equipment,Good,842.0776857710188,Accepted
22,female,Skilled,rent,little,little,433,18,radio/TV,Good,807.0636820126355,Accepted
39,female,Unskilled-Resident,own,rich,little,666,6,car,Good,832.6947302679197,Accepted
46,female,Unskilled-Resident,own,little,rich,2251,12,furniture/equipment,Good,861.7349089914394,Accepted
24,female,Skilled,own,little,moderate,2150,30,car,Good,756.5140144471812,Accepted
35,male,Skilled,own,moderate,little,4151,24,furniture/equipment,Good,530.9526335622031,Accepted
24,male,Skilled,own,little,moderate,2030,9,furniture/equipment,Good,842.2763674468371,Accepted
35,male,Unskilled-Resident,own,little,little,2684,24,radio/TV,Good,533.2478761140569,Accepted
29,male,Skilled,free,little,little,2149,12,radio/TV,Good,822.7353458084773,Accepted
23,female,Skilled,own,moderate,little,3812,15,car,Good,553.4481285909501,Accepted
57,female,Unskilled-Resident,own,moderate,little,1154,11,radio/TV,Good,822.1935597112043,Accepted
27,male,Skilled,own,little,little,1657,12,furniture/equipment,Good,830.1399331725722,Accepted
55,female,Skilled,own,little,little,1603,24,radio/TV,Good,792.2947204775619,Accepted
36,male,Highly Skilled,free,little,little,5302,18,car,Good,489.0520731597548,Accepted
57,female,Unskilled-Resident,free,little,little,2748,12,education,Good,560.3096866985726,Accepted
32,male,Unskilled-Resident,own,little,little,1231,10,car,Good,803.0329698698613,Accepted
37,male,Skilled,own,little,moderate,802,15,radio/TV,Good,820.191544196935,Accepted
38,female,Skilled,own,little,little,1533,24,radio/TV,Good,795.684267452295,Accepted
25,male,Skilled,own,little,little,999,24,radio/TV,Good,802.5363364907837,Accepted
32,male,Skilled,own,little,little,2662,18,car,Good,521.8889742267676,Accepted
37,female,Skilled,rent,quite rich,little,1402,12,furniture/equipment,Good,834.6910869482151,Accepted
32,male,Skilled,own,little,little,2697,9,radio/TV,Good,575.2831496219644,Accepted
26,female,Skilled,own,little,little,2404,18,radio/TV,Good,554.1389409587927,Accepted
49,male,Unskilled-Resident,own,little,little,1262,12,furniture/equipment,Good,817.0505562818903,Accepted
32,female,Skilled,own,little,little,4611,6,furniture/equipment,Good,575.8356679475706,Accepted
29,male,Highly Skilled,rent,moderate,little,1901,24,radio/TV,Good,753.3357161008871,Accepted
23,male,Skilled,rent,rich,little,3368,15,car,Good,562.0035905276216,Accepted
50,male,Skilled,own,little,little,1574,12,furniture/equipment,Good,817.0505562818903,Accepted
49,male,Unskilled-Resident,own,little,rich,1445,18,radio/TV,Good,839.6270254835173,Accepted
63,male,Skilled,own,little,little,1520,15,furniture/equipment,Good,814.506754670348,Accepted
37,male,Skilled,own,moderate,moderate,3878,24,car,Good,513.5455001754409,Accepted
49,female,Skilled,own,little,moderate,1092,12,radio/TV,Good,822.1935597112043,Accepted
48,male,Skilled,own,little,little,1024,24,radio/TV,Good,789.4469596001018,Accepted
26,male,Skilled,own,little,little,1076,12,business,Good,812.7327997858101,Accepted
56,male,Skilled,free,little,rich,4796,42,car,Good,496.5973426686289,Accepted
20,female,Skilled,rent,little,little,4675,12,car,Good,549.3280407955576,Accepted
45,male,Unskilled-Resident,own,little,little,1287,10,car,Good,799.6434228951282,Accepted
43,male,Skilled,own,little,little,2515,18,furniture/equipment,Good,535.9065606387966,Accepted
32,male,Skilled,own,rich,moderate,2745,21,furniture/equipment,Good,557.3632198345962,Accepted
54,female,Unskilled-Non Resident,own,little,little,672,6,car,Good,814.6276180468532,Accepted
42,female,Skilled,own,little,moderate,3804,36,radio/TV,Good,503.53838303433747,Accepted
37,male,Unskilled-Resident,own,little,rich,1344,24,car,Good,814.9707224683078,Accepted
49,male,Skilled,own,little,little,1038,10,car,Good,799.6434228951282,Accepted
33,male,Skilled,own,rich,little,1543,6,furniture/equipment,Good,850.6436497519547,Accepted
24,female,Unskilled-Resident,rent,little,little,4811,30,car,Good,490.26149457946855,Accepted
33,male,Unskilled-Resident,own,moderate,little,727,12,radio/TV,Good,822.7353458084773,Accepted
24,female,Skilled,own,little,moderate,1237,8,furniture/equipment,Good,845.1241283242972,Accepted
22,male,Unskilled-Resident,rent,little,moderate,276,9,car,Good,818.2053446531401,Accepted
26,female,Skilled,own,little,rich,3749,24,furniture/equipment,Good,585.3368161877012,Accepted
25,male,Unskilled-Resident,own,little,moderate,685,12,car,Good,812.7327997858101,Accepted
29,male,Unskilled-Resident,own,little,rich,1494,4,car,Good,857.0059959762151,Accepted
31,male,Skilled,own,little,little,2746,36,furniture/equipment,Good,501.78492657975653,Accepted
38,male,Unskilled-Resident,own,little,little,708,12,furniture/equipment,Good,820.4401032566234,Accepted
48,female,Unskilled-Resident,own,little,moderate,4351,24,furniture/equipment,Good,530.4108474649302,Accepted
32,male,Skilled,own,little,little,701,12,education,Good,820.4401032566234,Accepted
27,female,Unskilled-Resident,own,little,little,3643,15,furniture/equipment,Good,570.8552619777123,Accepted
32,male,Skilled,own,little,little,1938,24,radio/TV,Good,792.8365065748349,Accepted
34,male,Highly Skilled,free,little,little,2910,24,car,Good,480.7085991084282,Accepted
28,male,Skilled,own,rich,little,2659,18,furniture/equipment,Good,567.0630497505451,Accepted
36,female,Skilled,own,little,little,1028,18,car,Good,784.3253655650055,Accepted
39,male,Unskilled-Resident,own,little,little,3398,8,car,Good,552.1912267086152,Accepted
34,female,Skilled,own,rich,little,1525,24,car,Good,794.0490037347455,Accepted
31,male,Skilled,own,little,rich,4473,36,radio/TV,Good,545.9167609636994,Accepted
28,male,Skilled,own,little,moderate,1068,6,radio/TV,Good,844.571609998691,Accepted
30,female,Skilled,own,moderate,little,1864,18,education,Good,801.7324989517676,Accepted
23,male,Skilled,rent,little,little,4110,24,furniture/equipment,Good,533.9885740712172,Accepted
44,male,Highly Skilled,rent,little,little,3384,6,furniture/equipment,Good,530.0975696214297,Accepted
23,female,Unskilled-Resident,own,little,moderate,2101,13,radio/TV,Good,832.7391349903439,Accepted
24,female,Skilled,rent,little,little,1275,15,domestic appliances,Good,823.7800030315551,Accepted
28,male,Skilled,own,little,little,4169,24,furniture/equipment,Good,540.6524634781521,Accepted
31,male,Unskilled-Resident,own,little,moderate,1521,10,furniture/equipment,Good,820.4401032566234,Accepted
26,female,Unskilled-Resident,rent,little,little,3599,21,furniture/equipment,Good,545.1798090000038,Accepted
25,male,Skilled,rent,quite rich,moderate,3213,18,radio/TV,Good,562.6944028954641,Accepted
37,male,Unskilled-Resident,own,little,rich,3949,10,car,Good,585.2809312411724,Accepted
43,female,Unskilled-Resident,own,little,little,1459,15,radio/TV,Good,819.649758099662,Accepted
23,male,Skilled,own,little,moderate,882,13,radio/TV,Good,829.8913741128838,Accepted
23,female,Unskilled-Non Resident,rent,quite rich,moderate,3758,24,radio/TV,Good,557.1986897215977,Accepted
34,male,Unskilled-Resident,own,moderate,little,1743,6,business,Good,815.1694041441261,Accepted
32,male,Skilled,free,rich,moderate,1136,9,education,Good,850.6436497519547,Accepted
23,female,Skilled,rent,little,little,1236,9,domestic appliances,Good,838.4602389173623,Accepted
29,female,Skilled,own,little,moderate,959,9,furniture/equipment,Good,835.4242984083484,Accepted
38,male,Highly Skilled,own,little,little,3229,18,car,Good,489.0520731597548,Accepted
46,male,Skilled,free,quite rich,little,727,10,education,Good,835.1176685029568,Accepted
23,male,Unskilled-Resident,own,little,moderate,1246,24,car,Good,782.8339605521677,Accepted
49,male,Skilled,own,little,little,2331,12,radio/TV,Good,559.7571683729664,Accepted
26,male,Highly Skilled,own,little,little,4463,36,radio/TV,Good,480.94309798054667,Accepted
28,male,Skilled,own,little,little,776,12,radio/TV,Good,832.4351757244261,Accepted
23,female,Skilled,rent,little,little,2406,30,furniture/equipment,Good,507.6686279662307,Accepted
61,male,Skilled,free,little,moderate,1239,18,education,Good,795.4951910995744,Accepted
37,male,Highly Skilled,own,little,rich,3399,12,radio/TV,Good,572.1464061127757,Accepted
36,female,Skilled,own,little,rich,2247,12,car,Good,847.7173225794104,Accepted
21,male,Skilled,rent,little,little,1766,6,furniture/equipment,Good,835.6124780399022,Accepted
25,male,Unskilled-Non Resident,own,little,little,2473,18,furniture/equipment,Good,548.9959375294786,Accepted
36,male,Skilled,own,little,little,1542,12,business,Good,803.0329698698613,Accepted
27,male,Skilled,own,little,little,3850,18,car,Good,531.5888041427165,Accepted
22,female,Skilled,rent,little,little,3650,18,furniture/equipment,Good,545.1798090000038,Accepted
42,male,Skilled,own,little,little,3446,36,furniture/equipment,Good,498.39537960502344,Accepted
40,female,Skilled,rent,little,moderate,3001,18,furniture/equipment,Good,532.0904321093218,Accepted
36,male,Skilled,own,little,little,3079,36,car,Good,484.3777931929944,Accepted
23,female,Skilled,rent,little,little,2146,10,furniture/equipment,Good,826.3238046430974,Accepted
34,male,Skilled,own,little,little,2320,18,radio/TV,Good,541.5913501653836,Accepted
36,male,Skilled,free,little,little,846,7,radio/TV,Good,834.8717800827421,Accepted
52,female,Unskilled-Resident,own,moderate,little,362,6,car,Good,814.6276180468532,Accepted
39,male,Skilled,own,little,little,2212,20,furniture/equipment,Good,795.4951910995744,Accepted
25,female,Skilled,rent,little,little,1283,22,car,Good,779.0178320226929,Accepted
26,male,Skilled,own,little,rich,1330,12,car,Good,854.5693916178991,Accepted
26,male,Unskilled-Resident,own,moderate,little,4272,30,business,Good,494.0776231089433,Accepted
25,female,Skilled,own,little,little,2238,18,radio/TV,Good,813.7275714195704,Accepted
21,female,Skilled,rent,little,little,1126,18,radio/TV,Good,807.0636820126355,Accepted
27,male,Skilled,own,quite rich,moderate,2326,15,business,Good,568.6674799345565,Accepted
27,female,Skilled,own,little,little,1449,9,business,Good,827.7169949375351,Accepted
30,male,Highly Skilled,own,little,little,1820,18,car,Good,748.6407036205326,Accepted
19,female,Unskilled-Resident,rent,rich,moderate,983,12,furniture/equipment,Good,844.390916864164,Accepted
39,male,Highly Skilled,free,little,little,3249,36,car,Good,448.15134515124845,Accepted
31,female,Skilled,own,little,little,1957,6,radio/TV,Good,837.7195409602023,Accepted
31,male,Highly Skilled,own,little,little,2406,9,furniture/equipment,Good,540.1510060030978,Accepted
55,female,Highly Skilled,free,little,little,2578,12,furniture/equipment,Good,527.4727856315598,Accepted
46,male,Skilled,own,little,little,2348,36,furniture/equipment,Good,498.39537960502344,Accepted
46,male,Skilled,rent,little,moderate,1223,12,car,Good,792.9795334881933,Accepted
43,female,Unskilled-Resident,own,rich,little,1516,24,radio/TV,Good,810.3618326986284,Accepted
39,male,Skilled,own,little,little,1473,18,radio/TV,Good,797.7904336514283,Accepted
28,male,Skilled,own,little,moderate,1887,18,business,Good,791.1774346034942,Accepted
27,male,Unskilled-Resident,own,little,little,802,14,car,Good,810.1889981742678,Accepted
43,male,Skilled,own,little,moderate,2899,18,car,Good,518.4994272520345,Accepted
22,male,Skilled,own,little,moderate,2039,24,radio/TV,Good,802.5363364907837,Accepted
43,male,Skilled,own,little,little,2197,24,car,Good,769.7445836614858,Accepted
27,male,Skilled,own,little,little,1053,15,radio/TV,Good,829.8913741128838,Accepted
26,male,Highly Skilled,own,quite rich,little,3235,24,radio/TV,Good,528.1779171840597,Accepted
28,male,Skilled,own,quite rich,rich,939,12,car,Good,872.6365038389658,Accepted
20,female,Skilled,own,little,moderate,1967,24,radio/TV,Good,805.3840973682438,Accepted
42,male,Highly Skilled,own,little,little,2292,12,business,Good,766.8065218281154,Accepted
